sheet,cell,text
CF1,A8,Продажи по escrow
CF1,A9,Продажи по ДКП
CF1,A10,"Площадь в ГНС, кв. м"
CF1,A11,"Продаваемая площадь, кв. м"
CF1,C13,Итого
CF1,A15,ДОХОДЫ
CF1,A18,РАСХОДЫ
CF1,A20,Вход в проект
CF1,A21,"Покупка и формирование актива, агентские , diudill"
CF1,A22,"Проставить темп,%"
CF1,A23,Земельно-имущественные отношения
CF1,A24,Аренда/налог ЗУ
CF1,A25,Плата за изменение ВРИ
CF1,A26,"Проставить темп,%"
CF1,A27,ПИР и ИРД
CF1,A28,Компенсация городу
CF1,A29,"Проставить темп,%"
CF1,A30,"Получение ИРД (ППТ,ГПЗУ)"
CF1,A31,"Проставить темп,%"
CF1,A32,Проектирование объектов стадия П
CF1,A33,"Проставить темп,%"
CF1,A34,Проектирование объектов стадия РД
CF1,A35,"Проставить темп,%"
CF1,A36,Инженерные изыскания (опер деятельность)
CF1,A37,"Проставить темп,%"
CF1,A38,Предпроектные проработки
CF1,A39,"Проставить темп,%"
CF1,A40,САРЕХ
CF1,A41,Подготовка площадки (включая снос)
CF1,A42,"Проставить темп,%"
CF1,A43,СМР надземной части (в т.ч. стилобат)
CF1,A44,"Проставить темп,%"
CF1,A45,СМР подземной части
CF1,A46,"Проставить темп,%"
CF1,A47,Отделка МОП
CF1,A48,"Проставить темп,%"
CF1,A49,ТУ и плата за тех. присоединение
CF1,A50,"Проставить темп,%"
CF1,A51,Наружные сети и сооружения
CF1,A52,"Проставить темп,%"
CF1,A53,"Благоустройство, объекты транспортного хозяйства"
CF1,A54,"Проставить темп,%"
CF1,A55,Прочие СМР
CF1,A56,"Проставить темп,%"
CF1,A57,"Иные расходы на проекты (охрана, содержание площадки)"
CF1,A58,"Проставить темп,%"
CF1,A59,Расходы по вводу в эксплуатацию
CF1,A60,"Проставить темп,%"
CF1,A61,Непредвиденные расходы
CF1,A62,"Проставить темп,%"
CF1,A63,Услуги технического заказчика
CF1,A64,"Проставить темп,%"
CF1,A65,Авторский надзор
CF1,A66,"Проставить темп,%"
CF1,A67,Мониторинг окружающей застройки
CF1,A68,"Проставить темп,%"
CF1,A69,Технический надзор
CF1,A70,"Проставить темп,%"
CF1,A71,Социальные объекты (отдельно возводимые)
CF1,A72,"Проставить темп,%"
CF1,A73,Вознаграждение за управление проектом 
CF1,A74,"Проставить темп,%"
CF1,A75,Содержание застройщика
CF1,A76,"Проставить темп,%"
CF1,A77,ОРЕХ
CF1,A78,Брокеридж
CF1,A79,Реклама
CF1,A81,НАЛОГИ
CF1,A84,Налог на имущество
CF1,A85,НДС
CF1,A86,Налог на прибыль
CF1,A88,КРЕДИТ
CF1,A90,Поступления
CF1,A91,Остаток на эскроу BoP
CF1,A92,Пополнение эскроу за вычетом ФОР
CF1,A93,Раскрытие эскроу
CF1,AT93,где еще 5%
CF1,A94,Остаток на эскроу EoP
CF1,A95,Продажи по ДКП
CF1,A97,Total Debt (BoP)
CF1,A98,Выборка
CF1,A99,Погашение
CF1,A100,в т.ч. за счёт эскроу
CF1,A101,в т.ч. за счёт ДКП
CF1,A102,Определение залоговой стоимости квартир
CF1,A103,Задолженность после раскрытия escrow
CF1,A104,Остаток площадей после раскрытия escrow
CF1,A105,Погашение по залог. стоимости (квартиры)
CF1,A106,Total Debt (EoP)
CF1,A107,Проценты начисленные
CF1,A108,"Проценты (PIK), оплата при раскрытии escrow"
CF1,A109,"Проценты (PIK), оплата из ДКП"
CF1,A110,НеупПр  (EoP)
CF1,A111,Комиссия за выдачу
CF1,A112,Комиссия за обязательство
CF1,A113,Поток по кредиту
CF1,A115,Ключевая ставка
CF1,A116,Льготная ставка кредитования
CF1,A117,Базовая ставка кредитования
CF1,A118,Ставка скидки
CF1,A119,Минимальная ставка
CF1,A120,Сэср * (1 - ФОР) (Средства на эскроу - обязат. резервирование)
CF1,A121,Остаток ссудной задолженности
CF1,A122,К1
CF1,A123,К2
CF1,A124,СкP
CF1,A125,ТСт  (Текущая Ставка Кредитования)
CF1,A127,Поток по кредиту для банка
CF1,A128,Эффективная ставка по кредиту
CF1,A130,ОЦЕНКА CF
CF1,A132,Upfront equity (собственный капитал)
CF1,A133,CFADS (до финансирования)
CF1,A134,Cash gap
CF1,A135,Cash BoP
CF1,A136,Cash balance
CF1,A137,Cash EoP
CF1,A138,FCFE
CF1,A139,Cost of Eqity
CF1,A140,Valuation at cost of equity = 
CF1,A141,+free cash = Equity
CF1,A142,+Debt = Market Value of Asset
CF1,A143,IRR до финансирования
CF1,A144,LTV
CF1,A145,LTC
CF1,A148,NPV - чистый накопленный денежный поток 
CF1,A149,Debt - Чистый долг в периоде (выборка +% - пополнение эскроу)
CF1,A150,LLCR
CF1,A152,Альтернативный подход Банков 
CF1,A153,Выручка минус налоги 
CF1,A154,Общий долг (выборка + %)
CF1,A155,Коэффициент покрытие долговых обязательств LLCR
CF1,AU172,"К1 - доля кредита с учетом начисленных, но неуплаченных процентов, покрытого ДС на Эскроу счетах с учетом корректировки в ФОР*."
CF1,AU173,"К2 - доля кредита с учетом начисленных, но неуплаченных процентов, не покрытого ДС на Эскроу счетах с учетом корректировки в ФОР."
План продаж,C23,1 очередь
План продаж,E23,РнС
План продаж,AA23,РнВ
План продаж,AG23,конец продаж
План продаж,C24,Кол-во кварталов
План продаж,E24,1 квартал 26
План продаж,F24,2 квартал 26
План продаж,G24,3 квартал 26
План продаж,H24,4 квартал 26
План продаж,I24,1 квартал 27
План продаж,J24,2 квартал 27
План продаж,K24,3 квартал 27
План продаж,L24,4 квартал 27
План продаж,M24,1 квартал 28
План продаж,N24,2 квартал 28
План продаж,O24,3 квартал 28
План продаж,P24,4 квартал 28
План продаж,Q24,1 квартал 29
План продаж,R24,2 квартал 29
План продаж,S24,3 квартал 29
План продаж,T24,4 квартал 29
План продаж,U24,1 квартал 30
План продаж,V24,2 квартал 30
План продаж,W24,3 квартал 30
План продаж,X24,4 квартал 30
План продаж,Y24,1 квартал 31
План продаж,Z24,2 квартал 31
План продаж,AA24,3 квартал 31
План продаж,AB24,4 квартал 31
План продаж,AC24,1 квартал 32
План продаж,AD24,2 квартал 32
План продаж,AE24,3 квартал 32
План продаж,AF24,4 квартал 32
План продаж,AG24,1 кварлал 2033
План продаж,AH24,17 кварлал 2031
План продаж,AI24,18 кварлал 2031
План продаж,AJ24,19 кварлал 2031
План продаж,AK24,20 кварлал 2031
План продаж,AL24,21 кварлал 2031
План продаж,AM24,22 кварлал 2031
План продаж,C25,ИТОГО сделки с индекс
План продаж,C26,ИТОГО ПЛОЩАДЬ 
План продаж,C28,"Темп продаж, шт"
План продаж,C29,"Темп продаж, кв. м"
План продаж,C30,"Рост цен (от стадии проекта),%"
План продаж,C31,"Цена продаж, тыс.руб./кв.м"
План продаж,C33,"Темп продаж, шт"
План продаж,C34,"Темп продаж, кв. м"
План продаж,C35,"Рост цен (от стадии проекта),%"
План продаж,C36,"Цена продаж, тыс.руб./кв.м"
План продаж,C38,"Темп продаж, шт"
План продаж,C39,"Темп продаж, кв. м"
План продаж,C40,"Рост цен (от стадии проекта),%"
План продаж,C41,"Цена продаж, тыс.руб./кв.м"
План продаж,C43,"Темп продаж, шт"
План продаж,C44,"Темп продаж, кв. м"
План продаж,C45,"Рост цен (от стадии проекта),%"
План продаж,C46,"Цена продаж, тыс.руб./кв.м"
План продаж,C47,Машиноместа
План продаж,C48,"Темп продаж, шт"
План продаж,C49,"Темп продаж , кв м"
План продаж,C50,"Рост цен (от стадии проекта),%"
План продаж,C51,"Цена продаж, тыс.руб./шт."
План продаж,C53,"Темп продаж, шт"
План продаж,C54,"Темп продаж , кв м"
План продаж,C55,"Рост цен (от стадии проекта),%"
План продаж,C56,"Цена продаж, тыс.руб./шт."
План продаж,C58,Средняя стоимость квартир
План продаж,C59,Темп продаж квартир
План продаж,C60,Стоимость Пмоещений с НДС
План продаж,C61,НДС
План продаж,C65,Средняя в конце продаж 
План продаж,C66,Средневзвешенная Квартир
План продаж,C67,Средние темпы реализации квартир
Эскроу,AC2,1 квартал 2031
Эскроу,AD2,2 квартал 2031
Эскроу,AE2,3 квартал 2031
Эскроу,AF2,4 квартал 2031
Эскроу,AG2,1 квартал 2032
Эскроу,AH2,2 квартал 2032
Эскроу,AI2,3 квартал 2032
Эскроу,AJ2,4 квартал 2032
Эскроу,AK2,1 квартал 2033
Эскроу,AL2,итого
Эскроу,B3,"Рассрочка, кв"
Эскроу,B4,Сделки итого :
Эскроу,B5,Сделки с рассрочкой 
Эскроу,B6,Сделки с ипотекой
Эскроу,B7,Сделки со 100% оплатой
Эскроу,B8,ПВ
Эскроу,B9,Рассрочка
Эскроу,C9,1 кв
Эскроу,C10,2кв
Эскроу,C11,3кв
Эскроу,C12,4кв
Эскроу,C13,5кв
Эскроу,C14,6кв
Эскроу,C15,7кв
Эскроу,C16,8кв
Эскроу,C17,9кв
Эскроу,C18,10кв
Эскроу,C19,11кв
Эскроу,C20,12кв
Эскроу,C21,13кв
Эскроу,C22,14кв
Эскроу,C23,15кв
Эскроу,C24,16кв
Эскроу,C25,17кв
Эскроу,C26,18кв
Эскроу,C27,19кв
Эскроу,C28,20кв
Эскроу,C29,21 кв
Эскроу,C30,22кв
Эскроу,C31,23 кв
Эскроу,C32,24 кв
Эскроу,B33,Итого гашение:
Dashboard,A2,Название проекта
Dashboard,A3,Площадь участка
Dashboard,A4,Стадия ИРД
Dashboard,A5,Планируемый класс жилья
Dashboard,A6,Дата покупки проекта
Dashboard,A7,Сроки строительства
Dashboard,A9,Результаты
Dashboard,B9,ед.изм.
Dashboard,C9,Значение
Dashboard,A10,ТЭПы Проекта:
Dashboard,A11,Суммарнопоэтажная площадь - СПП
Dashboard,B11,кв. м
Dashboard,A12,Площадь в габаритах наружных стен (ГНС)
Dashboard,B12,кв. м
Dashboard,A13,Продаваемая площадь (ПП)
Dashboard,B13,кв. м
Dashboard,A14,Квартиры
Dashboard,B14,кв. м
Dashboard,A15,ПСН
Dashboard,B15,кв. м
Dashboard,A16,Кладовые
Dashboard,B16,шт.
Dashboard,A17,Паркинг
Dashboard,B17,шт.
Dashboard,A19,Выручка
Dashboard,B19,тыс. руб.
Dashboard,A20,Средняя цена реализации квартир
Dashboard,A21,на старте 
Dashboard,B21,тыс. руб./кв. м
Dashboard,A22,приведенное значение к дате оценки
Dashboard,B22,тыс. руб./кв. м
Dashboard,A23,в конце продаж 
Dashboard,B23,тыс. руб./кв. м
Dashboard,A24,средневзвешенная 
Dashboard,B24,тыс. руб./кв. м
Dashboard,A25,Средние темпы реализацииквартир
Dashboard,B25,кв. м
Dashboard,A26,Общий срок реализации всех квартир
Dashboard,B26,квартал
Dashboard,A27,Расходы
Dashboard,B27,тыс. руб.
Dashboard,B28,тыс. руб.
Dashboard,B29,тыс. руб./кв. м ПП
Dashboard,B30,тыс. руб.
Dashboard,B31,тыс. руб.
Dashboard,B32,тыс. руб.
Dashboard,A33,Валовая маржа
Dashboard,B33,тыс. руб.
Dashboard,A34,Валовая рентабельность
Dashboard,B34,%
Dashboard,A35,Налоги
Dashboard,B35,тыс. руб.
Dashboard,A36,Лимит финансирования
Dashboard,B36,тыс. руб.
Dashboard,A37,Начисленные % по кредиту
Dashboard,B37,тыс. руб.
Dashboard,A38,Общий срок кредита
Dashboard,B38,квартал
Dashboard,A39,Собственное участие Акционера
Dashboard,B39,тыс. руб.
Dashboard,A40,Итоги по проекту
Dashboard,A41,Прибыль до финансирования
Dashboard,B41,тыс. руб.
Dashboard,A42,Фин рез
Dashboard,A43,IRR Продаж 
Dashboard,B43,%
Dashboard,A44,IRR Проекта 
Dashboard,A45,IRR Капитала Инвестора
Dashboard,B45,%
Dashboard,A46,LTV max
Dashboard,B46,%
Dashboard,A52,LLCR
Dashboard,A54,Расчет показателя LLCR производится или за весь период проекта или на на определенную дату. 
Dashboard,A55,На листе рассчитан LLSR рассчитан  на каждый период и выведен средний показатель 
Dashboard,A56,Для вычисления этого показателя выводится строка NPV 
Dashboard,A57,NPV 
Dashboard,A58,LLCR средний за весь проект 
Dashboard,A65,   
